x,y
1.200000000000000000e+01,1.883549590414400257e+02
3.000000000000000000e+00,1.013285756265880764e+02
1.100000000000000000e+01,1.548222662700032970e+02
1.100000000000000000e+01,2.813834645137276311e+02
5.000000000000000000e+00,-1.481087987429371111e+01
-1.100000000000000000e+01,1.150424290188804690e+02
3.000000000000000000e+00,1.557650016687182948e+01
-1.400000000000000000e+01,2.929582983866943096e+02
1.000000000000000000e+00,5.483899526277352976e+01
-1.800000000000000000e+01,3.255342915785072364e+02
1.000000000000000000e+01,7.589841550549419935e+01
-3.000000000000000000e+00,1.119387388234437140e+02
-1.200000000000000000e+01,3.184798422001908875e+02
7.000000000000000000e+00,-1.574611285525699316e+02
-8.000000000000000000e+00,1.664094486122691592e+02
6.000000000000000000e+00,-1.472557966013146142e+02
-4.000000000000000000e+00,2.967495324445545180e+01
-1.400000000000000000e+01,-4.930154388279049726e+01
2.000000000000000000e+00,9.792943994750808656e+01
0.000000000000000000e+00,-1.371554524565078381e+01
-1.600000000000000000e+01,9.520847794764938499e+01
-1.000000000000000000e+00,-6.967411970875087235e+00
-1.400000000000000000e+01,2.110916032857365963e+02
-1.000000000000000000e+01,1.271044646999057619e+02
-1.900000000000000000e+01,3.620831082162870871e+02
1.000000000000000000e+00,4.080316875902925489e+01
-1.900000000000000000e+01,5.518192503666871289e+02
8.000000000000000000e+00,2.183399693428842170e+01
-1.500000000000000000e+01,3.282231804515893714e+02
-8.000000000000000000e+00,1.297264616519214542e+02
-1.600000000000000000e+01,2.257324305736017607e+02
-1.600000000000000000e+01,1.315515266848710780e+02
-7.000000000000000000e+00,1.060973689691765287e+01
7.000000000000000000e+00,1.902374672260789623e+02
-1.900000000000000000e+01,4.419751352075265913e+02
-6.000000000000000000e+00,1.137503158121629383e+02
3.000000000000000000e+00,5.511547891906349861e+01
1.300000000000000000e+01,2.267448352573545094e+02
1.000000000000000000e+01,9.964237751658848197e+01
-4.000000000000000000e+00,1.099498569522506131e+02
-1.400000000000000000e+01,1.469948976516959362e+02
-1.000000000000000000e+00,-1.144777299273366111e+02
-1.300000000000000000e+01,1.224606298214992961e+02
-2.000000000000000000e+01,3.334592495329171697e+02
1.300000000000000000e+01,5.042922390888895734e+01
-1.800000000000000000e+01,4.059901535862420019e+02
-1.100000000000000000e+01,1.214950418587109340e+02
1.000000000000000000e+00,1.216399580983786848e+02
0.000000000000000000e+00,1.211052080617338049e+02
9.000000000000000000e+00,4.632831311205762148e+01
0.000000000000000000e+00,-1.511730022333694592e+02
1.600000000000000000e+01,2.759006971519957006e+02
-1.600000000000000000e+01,4.349900813258896619e+02
-2.000000000000000000e+01,4.760410147905199665e+02
1.800000000000000000e+01,1.844508923576215409e+02
-5.000000000000000000e+00,1.335042796512738050e+00
-1.400000000000000000e+01,2.074436318347257497e+02
1.200000000000000000e+01,3.207653286872338185e+02
6.000000000000000000e+00,6.904694025026248028e+01
1.000000000000000000e+01,1.643957098388031284e+02
0.000000000000000000e+00,3.124904836239333861e+01
1.000000000000000000e+00,-5.490843036977545921e+01
1.500000000000000000e+01,2.477075693842468240e+02
0.000000000000000000e+00,-5.455953830434356888e+00
-8.000000000000000000e+00,9.490887415305239472e+01
1.000000000000000000e+01,4.412444244573987362e+01
2.000000000000000000e+01,2.841012819729776311e+02
1.900000000000000000e+01,5.173695849795806225e+02
-1.700000000000000000e+01,3.870824030896357044e+02
6.000000000000000000e+00,1.836720275187917082e+02
4.000000000000000000e+00,3.608480269124150652e+01
-7.000000000000000000e+00,6.343066663272346517e+01
-1.900000000000000000e+01,4.145303038010439423e+02
0.000000000000000000e+00,4.128177977767273887e+01
-6.000000000000000000e+00,6.000809294799724114e+01
1.900000000000000000e+01,4.808995160561307785e+02
1.800000000000000000e+01,1.892921129008721550e+02
-4.000000000000000000e+00,5.778407468282092196e+01
2.000000000000000000e+00,1.661967732644446585e+02
0.000000000000000000e+00,-6.602757363704918703e+01
1.600000000000000000e+01,4.128631191305607899e+02
-5.000000000000000000e+00,2.101407289418066853e+02
-1.500000000000000000e+01,1.623859081688221693e+02
2.000000000000000000e+00,-4.925890856788576855e+00
-1.000000000000000000e+01,-4.367884238579785006e+01
-1.800000000000000000e+01,4.425848928988375519e+02
-1.200000000000000000e+01,2.484107068276418318e+01
-1.800000000000000000e+01,4.709629672904786730e+02
1.000000000000000000e+01,1.608992227596013436e+02
1.600000000000000000e+01,2.974183045295305874e+02
-1.000000000000000000e+00,-7.087416376103585947e+01
-2.000000000000000000e+01,1.912235070292014996e+02
-2.000000000000000000e+01,5.297129814795779339e+02
1.600000000000000000e+01,1.251918751771227676e+02
-5.000000000000000000e+00,6.093615193241814865e+01
1.800000000000000000e+01,2.894919872321679577e+02
7.000000000000000000e+00,-5.987943799733076844e+01
-8.000000000000000000e+00,-2.430151739493895491e+01
4.000000000000000000e+00,1.066497989565384188e+02
7.000000000000000000e+00,9.617564399963153221e+01
1.900000000000000000e+01,3.540000000000000000e+02
3.000000000000000000e+00,1.110000000000000000e+02
9.000000000000000000e+00,-4.880000000000000000e+02
-1.900000000000000000e+01,-2.300000000000000000e+01
4.000000000000000000e+00,3.620000000000000000e+02
-1.000000000000000000e+00,1.500000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+00
-1.400000000000000000e+01,1.900000000000000000e+02
-4.000000000000000000e+00,-1.810000000000000000e+02
1.000000000000000000e+01,4.190000000000000000e+02
-9.000000000000000000e+00,-7.900000000000000000e+01
-1.300000000000000000e+01,1.100000000000000000e+02
